代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,Market Cap,市盈率,PB,5日的区间涨跌幅,PEG
sh603700,宁水集团,9.08,-0.19,-2.05,9.08,9.09,9.27,9.26,9.49,8.36,5730140.0,50925218.0,1845437360.0,13.11,1.18,-0.1878354203935599,-28.693584905660376
sh603538,美诺华,11.52,0.46,4.159,11.52,11.54,11.06,10.99,11.8,9.96,9224170.0,99793068.0,2457804787.2,13.16,1.19,-0.10973724884080371,9.62236559139785
sh603093,南华期货,9.28,0.36,4.036,9.28,9.29,8.92,8.65,9.53,8.34,18893108.0,169421649.0,5661411487.04,13.19,1.56,-0.13754646840148704,-1240.166744186055
sz300936,中英科技,25.16,0.76,3.115,25.15,25.18,24.4,23.55,26.17,21.86,2942748.0,70626506.0,1892032000.0,13.19,1.85,-0.17345597897503287,-37.882154538021254
sh600633,浙数文化,9.04,0.46,5.361,9.04,9.05,8.58,8.43,9.23,8.25,28732750.0,252307415.0,11442203927.919998,13.2,1.16,-0.023758099352051906,-270.6000000000005
sz300772,运达股份,7.69,0.53,7.402,7.69,7.7,7.16,7.08,7.74,6.99,12222779.0,90163712.0,5398982549.95,13.24,1.06,-0.0823389021479714,-233.90666666666647
sh600817,宇通重工,7.12,0.39,5.795,7.12,7.13,6.73,6.65,7.26,6.48,3081236.0,21104478.0,3855539857.84,13.3,1.62,-0.10664993726474274,-498.7499999999996
sh603150,万朗磁塑,22.12,0.67,3.124,22.12,22.14,21.45,21.01,22.79,20.0,1283034.0,27126140.0,1891038800.0,13.41,1.38,-0.12981904012588516,-73.59146341463416
sz000737,北方铜业,4.45,0.29,6.971,4.45,4.46,4.16,4.02,4.53,3.98,22487785.0,95344443.0,7887429943.150001,13.41,1.65,-0.11354581673306761,-44.07924916943522
sh603209,兴通股份,12.16,0.04,0.33,12.16,12.17,12.12,11.8,12.3,10.91,9402493.0,108312638.0,3404800000.0,13.46,1.56,-0.006535947712418306,-77.83391304347828
sh600215,派斯林,6.84,0.33,5.069,6.83,6.84,6.51,6.4,7.1,6.05,12598150.0,82728039.0,3180824899.2,13.51,1.6,-0.09042553191489358,-58.30191752577318
sz300193,佳士科技,5.74,0.28,5.128,5.73,5.74,5.46,5.44,5.93,5.11,10043882.0,55152851.0,2830960348.58,13.54,1.27,-0.08012820512820512,-111.028
sh600021,上海电力,7.96,0.38,5.013,7.95,7.96,7.58,7.48,8.03,7.4,31511833.0,243952376.0,22421279414.2,13.61,1.22,0.002518891687657377,-12.402304794075613
sh600956,新天绿能,7.61,0.51,7.183,7.6,7.61,7.1,7.15,7.61,6.99,7938553.0,58294938.0,31863778285.530003,13.93,1.58,0.0,-198.50250000000037
sh603173,福斯达,16.18,0.93,6.098,16.18,16.2,15.25,15.0,16.59,14.77,1883933.0,29576652.0,2588800000.0,14.08,1.84,-0.09961046188091259,-124.84266666666656
sh603586,金麒麟,12.27,0.13,1.071,12.27,12.28,12.14,11.8,12.78,11.02,8356003.0,98886684.0,2405567610.6,14.2,1.08,-0.176510067114094,-3.0016260162601625
sh600783,鲁信创投,9.86,0.9,10.045,9.85,9.86,8.96,8.86,9.86,8.72,6396436.0,60837238.0,7339382638.839999,14.24,1.67,-0.02182539682539689,-322.7733333333331
sz300019,硅宝科技,11.87,0.35,3.038,11.86,11.87,11.52,11.35,12.13,10.95,6780704.0,78118948.0,4641937989.0,14.29,1.99,-0.0791311093871219,-160.85410256410253
sh603706,东方环宇,11.46,0.02,0.175,11.44,11.46,11.44,11.35,11.91,10.51,2997000.0,33249503.0,2170325902.44,14.36,1.4,-0.1671511627906976,-117.75200000000001
sz300347,泰格医药,40.76,2.91,7.688,40.76,40.77,37.85,37.24,40.95,37.24,17934379.0,705540729.0,35559766647.2,14.47,1.69,0.003940886699507305,-48.37949494949494
sz300982,苏文电能,17.8,0.7,4.094,17.79,17.8,17.1,16.79,18.3,16.32,5661902.0,97341158.0,3683979598.8,14.49,1.15,-0.14216867469879516,-66.48352941176474
sh600675,中华企业,2.9,-0.12,-3.974,2.9,2.91,3.02,2.93,3.08,2.73,187067971.0,538994726.0,17678792230.8,14.52,1.17,-0.22666666666666668,-14.980952380952381
sh603903,中持股份,7.15,-0.5,-6.536,7.14,7.15,7.65,7.2,7.57,6.89,12380068.0,87318665.0,1825534282.0,14.56,1.07,-0.252092050209205,-36.855
sz300026,红日药业,3.61,0.39,12.112,3.6,3.61,3.22,3.18,3.64,3.17,64023880.0,220342580.0,10844998961.57,14.59,1.24,0.005571030640668529,-167.78499999999988
sz000011,深物业A,7.89,0.15,1.938,7.89,7.9,7.74,7.71,8.07,7.3,7072172.0,54247934.0,4702275035.88,14.72,1.06,-0.08255813953488372,-30.949236221434685
sh603216,梦天家居,8.35,-0.54,-6.074,8.35,8.36,8.89,8.29,8.72,8.0,4085711.0,33522115.0,1870483500.0,14.72,1.07,-0.22541743970315398,-147.1999999999999
sh603213,镇洋发展,7.1,-0.26,-3.533,7.09,7.1,7.36,6.74,7.38,6.62,8155647.0,56140783.0,3087080000.0,14.76,1.83,-0.19226393629124,-43.29599999999999
sh603073,彩蝶实业,13.68,-0.09,-0.654,13.67,13.68,13.77,13.0,14.22,12.48,1879766.0,24741817.0,1586880000.0,14.8,1.25,-0.16381418092909533,-89.392
sh603167,渤海轮渡,8.61,0.21,2.5,8.61,8.62,8.4,8.25,9.06,7.95,13422500.0,113258129.0,4039334170.83,14.9,1.07,-0.0661605206073754,-80.08749999999999
sz300393,中来股份,8.1,0.69,9.312,8.09,8.1,7.41,7.33,8.19,7.3,21894700.0,171583487.0,8825981599.8,14.9,1.99,-0.05813953488372093,-6.546969696969698
sz300280,紫天科技,27.85,1.26,4.739,27.84,27.85,26.59,26.66,28.5,24.66,13182032.0,353542768.0,4513530970.400001,14.96,1.71,-0.12145110410094631,-34.23438747460261
sh600833,第一医药,8.58,0.07,0.823,8.58,8.6,8.51,8.4,8.9,7.91,4785481.0,40089894.0,1914080857.26,15.01,1.91,-0.162109375,7.862380952380952
sh600814,杭州解百,5.52,0.28,5.344,5.52,5.53,5.24,5.15,5.66,4.94,9690326.0,51083473.0,4058874370.5599995,15.02,1.18,-0.08153078202995012,-45.99875
sz300304,云意电气,4.95,0.34,7.375,4.95,4.96,4.61,4.61,5.06,4.42,15866528.0,76197754.0,4329472544.1,15.02,1.62,-0.02559055118110234,-36.86727272727272
sh600592,龙溪股份,7.5,0.13,1.764,7.5,7.51,7.37,7.06,7.79,6.66,21767520.0,156635053.0,2996651782.5,15.19,1.25,-0.13494809688581313,-14.795454545454545
sh600577,精达股份,3.34,0.23,7.395,3.34,3.35,3.11,3.09,3.39,3.03,31134201.0,100086719.0,6944454359.679999,15.24,1.35,-0.042979942693409844,-47.41333333333332
sh603190,亚通精工,19.98,0.49,2.514,19.98,20.0,19.49,19.45,20.56,18.0,1182000.0,22811463.0,2397600000.0,15.27,1.18,-0.12865242040994326,-94.77931034482758
sh600909,华安证券,4.46,0.27,6.444,4.46,4.47,4.19,4.12,4.5,4.1,57829938.0,249767936.0,20951579807.64,15.37,1.03,-0.004464285714285817,-63.40124999999999
sz300897,山科智能,19.75,0.21,1.075,19.75,19.76,19.54,19.04,20.38,17.58,1649070.0,31203064.0,1343000000.0,15.38,1.41,-0.21564733915806195,-156.16615384615372
sz300951,博硕科技,33.69,1.5,4.66,33.54,33.69,32.19,31.5,34.56,30.04,3010084.0,96560022.0,4077853939.6499996,15.48,1.88,-0.14143730886850164,-88.58
sh603416,信捷电气,23.11,0.95,4.287,23.1,23.11,22.16,21.55,23.58,20.44,4470265.0,97170037.0,3248341600.0,15.75,1.55,-0.09336994899960765,-58.655172413793096
